country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units
Australia,BOM,WA,9,-32.34,116.18,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar
Temperature,DNI,GHI,DHI,Wind Direction,Wind Speed,,,,,,,,,,,
17.7,0,69,69,35.0275238714175,9.27429895552032,,,,,,,,,,,
17.7,0,79,79,31.6385537475727,8.47982595476143,,,,,,,,,,,
17.8,0,87,87,33.9771491495533,9.32452754904592,,,,,,,,,,,
17.9,0,68,68,38.3737612150925,9.56075574439765,,,,,,,,,,,
17.9,0,20,20,45.8557274989646,8.98588754196376,,,,,,,,,,,
17.9,0,0,0,49.141716043663,9.45475669911705,,,,,,,,,,,
17.8,0,0,0,50.4770720931449,11.8523375005588,,,,,,,,,,,
17.7,0,0,0,65.0536713829182,10.6674946643101,,,,,,,,,,,
17.4,0,0,0,83.806299183712,10.179842010683,,,,,,,,,,,
17.1,0,0,0,102.177837783964,9.4847668205175,,,,,,,,,,,
17,0,0,0,106.60790142686,9.51745879521313,,,,,,,,,,,
16.9,0,0,0,107.880230242813,10.0814338964483,,,,,,,,,,,
16.8,0,0,0,117.73854708989,10.7524173691297,,,,,,,,,,,
16.8,1,1,1,130.042505897507,11.2820607490643,,,,,,,,,,,
16.9,45,49,41,134.381829528767,10.7403247983399,,,,,,,,,,,
16.9,395,199,77,137.386776306674,10.2365754597878,,,,,,,,,,,
17.5,734,406,79,140.942816429286,9.97355540762746,,,,,,,,,,,
18.5,662,559,173,146.974452741041,9.22164522595248,,,,,,,,,,,
19.5,379,622,350,144.62622961949,5.75622963381339,,,,,,,,,,,
19.8,98,435,358,141.369297298348,3.98373994441774,,,,,,,,,,,
19.8,0,143,143,121.44672152253,2.90002309170334,,,,,,,,,,,
19.6,0,342,342,98.4118219411587,2.74060917418168,,,,,,,,,,,
19.4,0,555,555,81.6315676837795,2.48761260298544,,,,,,,,,,,
19,0,476,476,58.6111975286573,2.5901943689497,,,,,,,,,,,
18.7,21,446,431,47.8923381065624,3.50334616947654,,,,,,,,,,,
18.2,25,384,369,26.8521328006515,5.78282649857836,,,,,,,,,,,
17.6,7,201,197,34.2168148537035,6.6456850993648,,,,,,,,,,,
17,0,88,88,42.9926505971711,7.4777095499139,,,,,,,,,,,
16.7,0,25,25,49.4934103797088,8.05569922530338,,,,,,,,,,,
16.7,0,0,0,50.9158170463391,8.34052213955373,,,,,,,,,,,
16.6,0,0,0,55.2233548452238,9.68678265350134,,,,,,,,,,,
16.2,0,0,0,64.8821677686196,10.1630152260017,,,,,,,,,,,
15.6,0,0,0,67.056835626591,11.5418519595643,,,,,,,,,,,
15,0,0,0,76.1031502807837,10.5676983241232,,,,,,,,,,,
14.6,0,0,0,98.3294365898954,10.5071714152174,,,,,,,,,,,
14.5,0,0,0,115.126798427214,10.9727809430753,,,,,,,,,,,
14.5,0,0,0,141.051781044999,9.1045844291238,,,,,,,,,,,
14.4,4,1,1,170.640826245984,9.88459960886337,,,,,,,,,,,
14.5,183,57,33,197.589282535432,8.67138820795705,,,,,,,,,,,
14.5,269,183,117,216.114823820288,7.49513494505017,,,,,,,,,,,
15.1,214,323,234,222.166712409111,7.07592754281002,,,,,,,,,,,
16,268,484,319,237.65352466993,5.88768770107456,,,,,,,,,,,
17,198,579,438,293.214663994397,4.2868790914914,,,,,,,,,,,
17.3,225,688,494,313.289989926312,3.99165408422462,,,,,,,,,,,
17.3,248,752,525,313.621629620657,5.19809132074296,,,,,,,,,,,
17.2,88,525,443,328.134596473726,6.67881197545404,,,,,,,,,,,
